,id,jewish_text,rus_transl,folder,im_name,_merge,source
0,ORG001,"פנ
 איש הר‘
 יעקב בהר‘
 משה מזרחי
 שנפטר יִחִ
 ימים בחו’
 טבת שנת
 תקעג לפק
 תנצבה","Здесь похоронен  мужчина, р.  Яаков, сын р.  Моше Мизрахи,  который скончался 18  числа месяца  тевет  573 года по малому исчислению.  Да будет душа его завязана в узле жизни.",Оргеев,ORG001,both,Сэфер
1,ORG001,"פנ
 איש הר‘
 יעקב בהר‘
 משה מזרחי
 שנפטר יִחִ
 ימים בחו’
 טבת שנת
 תקעג לפק
 תנצבה","Здесь похоронен  мужчина, р.  Яаков, сын р.  Моше Мизрахи,  который скончался 18  числа месяца  тевет  573 года по малому исчислению.  Да будет душа его завязана в узле жизни.",Оргеев,ORG001_1,both,Сэфер
2,ORG002,"פנ
 איש חשוב
 הרר יצחק
 אייזק בהרר
 יצחק הלוי
 שנפטר ךִא יום
 לחודש שבט
 שנת תִקעִו
 לפק
 תנצבה","Здесь похоронен  почтенный человек  р. Ицхак  Айзик, сын р.  Ицхака ха-Леви,  который скончался 21 числа  месяца шват  576 года  по малому исчислению.  Да будет душа его завязана в узле жизни.",Оргеев,ORG002,both,Сэфер
3,ORG002,"פנ
 איש חשוב
 הרר יצחק
 אייזק בהרר
 יצחק הלוי
 שנפטר ךִא יום
 לחודש שבט
 שנת תִקעִו
 לפק
 תנצבה","Здесь похоронен  почтенный человек  р. Ицхак  Айзик, сын р.  Ицхака ха-Леви,  который скончался 21 числа  месяца шват  576 года  по малому исчислению.  Да будет душа его завязана в узле жизни.",Оргеев,ORG002_1,both,Сэфер
4,ORG002,"פנ
 איש חשוב
 הרר יצחק
 אייזק בהרר
 יצחק הלוי
 שנפטר ךִא יום
 לחודש שבט
 שנת תִקעִו
 לפק
 תנצבה","Здесь похоронен  почтенный человек  р. Ицхак  Айзик, сын р.  Ицхака ха-Леви,  который скончался 21 числа  месяца шват  576 года  по малому исчислению.  Да будет душа его завязана в узле жизни.",Оргеев,ORG002_3,both,Сэфер
5,ORG003,,,Оргеев,ORG003,both,Сэфер
6,ORG004,"_C_
 פנ
 _R_
 הקדוש
 הר‘ יצחק
 נ‘פ ב סוון
 שנ‘ תקפ
 ל‘ ת‘נ'צ'ב'ה'
 _L_
 הקדוש
 הר‘ חיים
 ליב נ‘פ ב
 סוון שנ‘
 תקפ ל‘","Здесь похоронены     мученик  р. Ицхак  скончался 2 сивана  580 года  по малому исчислению. Да будет душа его завязана в узле жизни.     мученик  р. Хаим  Лейб, <который> скончался 2  cивана 580 года  по малому исчислению.",Оргеев,ORG004,both,Сэфер
7,ORG004,"_C_
 פנ
 _R_
 הקדוש
 הר‘ יצחק
 נ‘פ ב סוון
 שנ‘ תקפ
 ל‘ ת‘נ'צ'ב'ה'
 _L_
 הקדוש
 הר‘ חיים
 ליב נ‘פ ב
 סוון שנ‘
 תקפ ל‘","Здесь похоронены     мученик  р. Ицхак  скончался 2 сивана  580 года  по малому исчислению. Да будет душа его завязана в узле жизни.     мученик  р. Хаим  Лейб, <который> скончался 2  cивана 580 года  по малому исчислению.",Оргеев,ORG004_1,both,Сэфер
8,ORG005,"פנ
 הקדוש יוסף
 ב‘ה יעקב ש‘נ
 ב סוון שנת
 תק‘ף לפק
 תנצבה","Здесь похоронен  мученик Йосеф,  сын р. Яакова, который скончался  2 сивана  580 года по малому исчислению.  Да будет душа его завязана в узле жизни.",Оргеев,ORG005,both,Сэфер
9,ORG006,"פ‘נ
 האשה הח‘ש
 מרת חייה בת
 הרר צבי הריש
 שנפטרה יום
 ךא כיסלב ש‘נ
 תקעג לפק
 תנצבה","Здесь похоронена  почтенная женщина  госпожа Хая, дочь  р. Цви Гирша,  которая скончалась  21 числа <месяца> кислев  573 года по малому исчислению.  Да будет душа её завязана в узле жизни.",Оргеев,ORG006,both,Сэфер
10,ORG007,,,Оргеев,ORG007,both,Сэфер
11,ORG008,"פ‘נ
 איש
 חשוב
 הרר אבא במ
 הורר ברוך
 שנפטר יום
 ךִח כיסלב
 שנת תקעו
 לפק תנצבה","Здесь похоронен  почтенный человек  р. Аба, сын господина  р. Баруха,  который скончался 28 числа  <месяца> кислев  576 года  по малому исчислению. Да будет душа его завязана в узле жизни.",Оргеев,ORG008,both,Сэфер
12,ORG008,"פ‘נ
 איש
 חשוב
 הרר אבא במ
 הורר ברוך
 שנפטר יום
 ךִח כיסלב
 שנת תקעו
 לפק תנצבה","Здесь похоронен  почтенный человек  р. Аба, сын господина  р. Баруха,  который скончался 28 числа  <месяца> кислев  576 года  по малому исчислению. Да будет душа его завязана в узле жизни.",Оргеев,ORG008_1,both,Сэфер
13,ORG008,"פ‘נ
 איש
 חשוב
 הרר אבא במ
 הורר ברוך
 שנפטר יום
 ךִח כיסלב
 שנת תקעו
 לפק תנצבה","Здесь похоронен  почтенный человек  р. Аба, сын господина  р. Баруха,  который скончался 28 числа  <месяца> кислев  576 года  по малому исчислению. Да будет душа его завязана в узле жизни.",Оргеев,ORG008_2,both,Сэфер
14,ORG009,,,Оргеев,ORG009,both,Сэфер
15,ORG010,"_C_
 פנ
 _R_
 זאב ב‘ה
 געציל
 _L_
 כלמן
 ב‘ה' געציל
 

 לעיה","Здесь похоронены     Зеев, сын р.  Гециля     Калман,  сын р. Гециля     [Леа]",Оргеев,ORG010,both,Сэфер
16,ORG011,"פ‘נ
 איש חשוב
 הר‘ יחיאיל
 מיכיל בהר‘
 שלום פרדמן
 שנ יום בחו
 אדר שנת
 תקצג לפק
 תנצבה","Здесь похоронен  почтенный человек  р. Йехиэль  Михл, сын р.  Шалома Фридмана,  который скончался в день месяца  адар  593 года по малому исчислению.  Да будет душа его завязана в узле жизни.",Оргеев,ORG011,both,Сэфер
17,ORG012,,,Оргеев,ORG012,both,Сэфер
18,ORG012,,,Оргеев,ORG012_1,both,Сэфер
19,ORG013,"איש ...
 יש ...
 ... הרר
 ... אל ב ער‘ח
 איר שנ תר[ך]
 ל ת‘נ'צ'ב'ה'",мужчина…  …  … р.  … <скончался> в канун новомесячья  ияра 620 года  по малому исчислению Да будет душа его завязана в узле жизни.,Оргеев,ORG013,both,Сэфер
20,ORG013,"איש ...
 יש ...
 ... הרר
 ... אל ב ער‘ח
 איר שנ תר[ך]
 ל ת‘נ'צ'ב'ה'",мужчина…  …  … р.  … <скончался> в канун новомесячья  ияра 620 года  по малому исчислению Да будет душа его завязана в узле жизни.,Оргеев,ORG013_1,both,Сэфер
21,ORG014,,,Оргеев,ORG014,both,Сэфер
22,ORG015,,,Оргеев,ORG015,both,Сэфер
23,ORG016,,,Оргеев,ORG016,both,Сэфер
24,ORG017,"פנ
 אשה חשו
 מרת העני
 בת הר ישראל
 שנ ים טִז
 בחדש אייר
 שנת תקבב
 לפק ת‘נצב'ה",Здесь похоронена  почтенная женщина  госпожа Геня  дочь р. Исраэля  которая скончалась  в месяц Ияр  в год 582  по малому летоисчислению.,Оргеев,ORG017,both,Сэфер
25,ORG018,,,Оргеев,ORG018,both,Сэфер
26,ORG019,,,Оргеев,ORG019,both,Сэфер
